,Zygote,2C,4C,8C,E6.5,E7.5,mES2iL,8-rep1,8-rep2
chr15-40000001-40100000,0.328,0.1823,0.25,0.3773,0.3599,0.6316,0.0625,0.1273,0.1
chr15-4000001-4100000,0.055,0.0233,0.1574,0.0,0.0584,0.0687,0.0725,0.0833,0.0316
chr15-400001-500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-40100001-40200000,0.3127,0.0912,1.0,0.128,0.4901,0.8243,0.2754,0.2,0.0714
chr15-40200001-40300000,0.0806,0.25,0.0,0.0,0.8222,0.9155,0.3478,0.1929,0.5397
chr15-40300001-40400000,0.0,0.0,0.0,0.0,0.0,0.0,0.4861,0.0,0.0
chr15-40400001-40500000,0.0,0.0,0.0,0.0,0.0,0.0,0.4523,0.0,0.0
chr15-40500001-40600000,0.1849,0.7317,0.0,0.0625,0.4,0.5857,0.2434,0.0,0.0
chr15-40600001-40700000,0.0005,0.058,0.0021,0.0087,0.0246,0.0291,0.0115,0.0,0.0196
chr15-40700001-40800000,0.0,0.8571,0.0,0.0,0.0,0.0,0.4243,0.0,0.0
chr15-40800001-40900000,0.3846,0.5,0.0,0.0,0.0,0.0,0.5171,0.1974,0.419
chr15-40900001-41000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-41000001-41100000,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.0,0.0
chr15-4100001-4200000,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0
chr15-41100001-41200000,0.0263,0.2499,0.0,0.0,0.7147,0.9579,0.2949,0.075,0.1167
chr15-41200001-41300000,0.0,1.0,0.0,0.0,0.7222,0.8889,0.6696,0.2,0.2538
chr15-41300001-41400000,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0
chr15-41400001-41500000,0.0349,0.0947,0.0796,0.0394,0.0196,0.0139,0.0754,0.0167,0.0081
chr15-41500001-41600000,0.0,0.0,0.0,0.0,0.25,0.6667,0.4239,0.05,0.0
chr15-41600001-41700000,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5
chr15-41700001-41800000,0.0237,0.0343,0.0,0.0491,0.0132,0.0222,0.113,0.0056,0.0104
chr15-41800001-41900000,0.0,0.0,0.0,0.0944,0.684,0.7521,0.1436,0.0,0.1778
chr15-41900001-42000000,0.2,0.0,0.0,0.119,0.1852,0.3466,0.3698,0.0,0.0
chr15-42000001-42100000,0.0,0.0,0.0,0.0,0.0,0.0,0.3763,0.0,0.5
chr15-4200001-4300000,0.0,0.375,0.0,0.0,0.7143,0.7623,0.3208,0.0,0.3571
chr15-42100001-42200000,0.0251,0.0156,0.1243,0.0,0.0682,0.0739,0.6797,0.0,0.5
chr15-42200001-42300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chr15-42300001-42400000,0.1993,0.1114,0.0,0.0,0.6816,0.8574,0.3661,0.0,0.2067
chr15-42400001-42500000,0.0,0.4286,0.0,1.0,0.5,0.5079,0.1,0.0,0.0625
chr15-42500001-42600000,0.4886,0.3115,0.0,0.1111,0.4747,0.5941,0.753,0.0,0.35
chr15-42600001-42700000,0.0625,0.0,0.0,0.3571,0.1304,0.0675,0.025,0.0,0.0
chr15-42700001-42800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-42800001-42900000,0.0,0.0,0.0,0.0,0.0,0.0,0.5516,0.0,0.0
chr15-42900001-43000000,0.0,0.0,0.0,0.0,0.0,0.0,0.4288,0.0,0.0
chr15-43000001-43100000,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0
chr15-4300001-4400000,0.2667,0.0,0.0,0.0,0.1057,0.048,0.1922,0.6429,0.3628
chr15-43100001-43200000,0.1142,0.0984,0.5625,0.0099,0.1367,0.087,0.0281,0.0367,0.0315
chr15-43200001-43300000,0.0,0.0075,0.0,0.0083,0.0197,0.0525,0.1204,0.0,0.0938
chr15-43300001-43400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,0.4
chr15-43400001-43500000,0.0222,0.0,0.0,0.0,0.0056,0.0189,0.0,0.0533,0.0179
chr15-43500001-43600000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-43600001-43700000,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
chr15-43700001-43800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-43800001-43900000,0.138,0.0064,0.0,0.1429,0.0845,0.0741,0.1472,0.0,0.0044
chr15-43900001-44000000,0.9,0.3333,0.0,0.0,0.9167,0.9412,0.5848,0.25,0.0
chr15-44000001-44100000,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0
chr15-4400001-4500000,0.5,0.0,0.0,0.0,0.0,0.75,0.3317,0.0,0.5
chr15-44100001-44200000,0.0,0.0,0.0,0.0,0.0,0.0,0.6461,0.0,0.0
chr15-44200001-44300000,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0
chr15-44300001-44400000,0.1224,0.6154,0.0,0.0,0.0,0.0,0.2807,0.0,0.0
chr15-44400001-44500000,0.0356,0.0,0.0,0.0,0.0252,0.006,0.0417,0.4657,0.1157
chr15-44500001-44600000,0.0,0.0,0.0,0.0,0.0,0.0,0.3946,0.0,0.0
chr15-44600001-44700000,0.0722,0.0681,0.0,0.0843,0.0622,0.0741,0.0384,0.064,0.0732
chr15-44700001-44800000,0.0621,0.2733,0.0,0.0766,0.0855,0.0457,0.1207,0.1033,0.0592
chr15-44800001-44900000,0.1412,0.1738,0.0,0.0,0.7699,0.8219,0.5733,0.1667,0.0417
chr15-44900001-45000000,0.1909,0.5115,0.2925,0.0,0.3988,0.495,0.4892,0.255,0.3333
chr15-45000001-45100000,0.219,0.0,0.0625,0.0,0.3659,0.6029,0.3498,0.0,0.1587
chr15-4500001-4600000,0.0,1.0,0.0,0.0,0.0,1.0,0.7623,0.0,0.0
chr15-45100001-45200000,0.0,0.0,0.0,0.0,0.0,0.0,0.1158,0.0,0.125
chr15-45200001-45300000,0.0,0.0,0.0,0.3038,0.0,0.1429,0.3323,0.0952,0.0
chr15-45300001-45400000,0.0533,0.5,0.0,0.0,0.2778,0.7765,0.2949,0.16,0.3612
chr15-45400001-45500000,0.0,0.0,0.0,0.0,0.0,0.0,0.3521,0.0,0.0
chr15-45500001-45600000,0.4097,0.0,0.0,0.6667,0.5714,0.8222,0.2143,0.0234,0.0845
chr15-45600001-45700000,0.2312,0.3904,0.0,0.3475,0.7702,0.7343,0.6194,0.2698,0.1889
chr15-45700001-45800000,0.4383,0.5132,0.0,0.6008,0.4698,0.5336,0.3136,0.2476,0.1791
chr15-45800001-45900000,0.6857,0.5076,0.0,0.0,0.55,0.375,0.2,0.4531,0.0977
chr15-45900001-46000000,0.65,0.0,0.0,0.1417,0.8129,0.75,0.2714,0.1,0.0357
chr15-46000001-46100000,0.0,0.0,0.0,0.0,0.0,0.0,0.4421,0.0,0.0
chr15-4600001-4700000,0.25,0.6615,0.0,0.0,0.6861,0.832,0.7164,0.5625,0.3
chr15-46100001-46200000,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.1383,0.2476
chr15-46200001-46300000,0.0,0.0,0.0,0.0,0.0,0.0,0.1447,0.0,0.0
chr15-46300001-46400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0
chr15-46400001-46500000,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
chr15-46500001-46600000,0.0,0.0,0.0,0.0,0.0,0.0,0.4582,0.0,0.0
chr15-46600001-46700000,0.0,0.0,0.0,0.0,0.0,0.0,0.2972,0.0,0.0
chr15-46700001-46800000,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,0.0,0.4375
chr15-46800001-46900000,0.0,0.0,0.0,0.0,0.0,0.0,0.6402,0.0686,0.2159
chr15-46900001-47000000,1.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.2444,0.3403
chr15-47000001-47100000,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.5
chr15-4700001-4800000,0.0,0.0,0.0,0.0,0.0,0.0,0.4778,0.0,0.1548
chr15-47100001-47200000,0.0,0.0,0.0,0.0,0.0,0.0,0.788,0.0,0.05
chr15-47200001-47300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16
chr15-47300001-47400000,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.5,0.5152
chr15-47400001-47500000,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0
chr15-47500001-47600000,0.3846,0.0,0.0,0.5,0.0,0.0,0.1703,0.1739,0.0495
chr15-47600001-47700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-47700001-47800000,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
chr15-47800001-47900000,0.0,0.0,0.0,0.0,0.0,0.0,0.2973,0.0,0.0
chr15-47900001-48000000,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0
chr15-48000001-48100000,0.0,0.0,0.0,0.0,0.0,0.0,0.2705,0.0,0.0
chr15-4800001-4900000,0.0,0.0,0.0,0.0,0.0,0.0,0.6104,0.3597,0.4533
chr15-48100001-48200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-48200001-48300000,0.0,0.0,0.0,0.0,0.0,0.0,0.4909,0.0,0.0
chr15-48300001-48400000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-48400001-48500000,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
chr15-48500001-48600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-48600001-48700000,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
chr15-48700001-48800000,0.0,0.0,0.0,0.0,0.0,0.0,0.2096,0.0,0.0
chr15-48800001-48900000,0.4727,0.0,0.0,0.0,0.0,0.0,0.2667,0.0,0.0
chr15-48900001-49000000,0.4527,0.5476,0.0,0.4911,0.4615,0.8902,0.5191,0.25,0.0
chr15-49000001-49100000,0.6595,0.0,0.0,0.9167,0.7857,0.5357,0.5147,0.0,0.05
chr15-4900001-5000000,0.3293,0.4208,0.0,0.0098,0.6979,0.8952,0.4238,0.4,0.4333
chr15-49100001-49200000,0.4372,0.0,0.0,0.5079,0.0,0.0,0.4772,0.2,0.3241
chr15-49200001-49300000,0.6715,0.0,0.0,0.25,0.8052,0.7778,0.5501,0.3643,0.2538
chr15-49300001-49400000,0.4508,0.2603,0.0,0.35,0.5439,0.7013,0.586,0.225,0.4208
chr15-49400001-49500000,0.0,0.119,0.0,0.95,0.75,0.6429,0.7083,0.0,0.3619
chr15-49500001-49600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-49600001-49700000,0.4015,0.5833,0.0,0.0,0.7857,0.9524,1.0,0.0,0.0
chr15-49700001-49800000,0.3178,1.0,0.0,0.0,0.65,0.7891,0.6407,0.0,0.8333
chr15-49800001-49900000,0.3334,0.4572,0.0,0.0,0.9079,1.0,0.4593,0.4,0.0544
chr15-49900001-50000000,0.7285,0.7245,0.0,0.2857,0.8713,0.9008,0.366,0.0,0.3
chr15-50000001-50100000,0.0,0.0,0.0,0.0,0.8,0.6667,0.5087,0.0,0.0556
chr15-5000001-5100000,0.711,0.191,0.0,0.0,0.5684,0.7243,0.2525,0.0,0.3
chr15-500001-600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-50100001-50200000,0.0,0.0,0.0,0.0,0.1695,0.1765,0.5227,0.375,0.1485
chr15-50200001-50300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-50300001-50400000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chr15-50400001-50500000,0.4908,0.9167,0.0,0.4792,0.7917,0.6571,0.32,0.625,0.315
chr15-50500001-50600000,0.0476,0.0,0.0,0.0,0.0,0.3,0.6647,0.0,0.0
chr15-50600001-50700000,0.0,0.0,0.0,0.0,0.0,0.0,0.4492,0.75,0.2833
chr15-50700001-50800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.4
chr15-50800001-50900000,0.0452,0.003,0.0,0.0327,0.0512,0.0282,0.061,0.0193,0.0238
chr15-50900001-51000000,0.0,0.0,0.0,0.1667,0.0,0.0,0.4672,0.0,0.0
chr15-51000001-51100000,0.0,0.0,0.0,0.45,0.0,0.0,0.3178,0.3333,0.0
chr15-5100001-5200000,0.0781,0.0595,0.1109,0.0949,0.0865,0.1208,0.0891,0.1795,0.0666
chr15-51100001-51200000,0.0,0.4,0.0,0.0,0.0,0.0,0.5962,0.2,0.0
chr15-51200001-51300000,0.0,0.0,0.0,0.0,0.0,0.0,0.4789,0.2222,0.0
chr15-51300001-51400000,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,0.0,0.0
chr15-51400001-51500000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr15-51500001-51600000,0.4,0.1375,0.0,0.1667,0.7234,0.9524,0.453,0.0,0.0
chr15-51600001-51700000,0.0,0.0,0.0,0.0,0.0,0.0,0.6026,0.0,0.0
chr15-51700001-51800000,0.0202,0.0098,0.0,0.1667,0.5428,0.7022,0.2549,0.0,0.0286
chr15-51800001-51900000,0.0094,0.0347,0.0,0.0526,0.0065,0.0195,0.0526,0.5116,0.1717
chr15-51900001-52000000,0.0216,0.0202,0.0,0.0289,0.0222,0.0285,0.1719,0.0089,0.0
chr15-52000001-52100000,0.0747,0.074,0.0,0.0949,0.1061,0.189,0.0799,0.0614,0.0385
chr15-5200001-5300000,0.1233,0.0657,0.171,0.0901,0.1489,0.1558,0.0799,0.0693,0.0499
chr15-52100001-52200000,0.0,0.0,0.0,0.0,0.0,0.0,0.2338,0.1571,0.0204
chr15-52200001-52300000,0.5657,0.0476,0.3333,0.0147,0.7995,0.8772,0.4126,0.1644,0.2213
chr15-52300001-52400000,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,0.0,0.0
chr15-52400001-52500000,0.0,0.0,0.0,0.0,0.0,0.0,0.2202,0.0,0.0
chr15-52500001-52600000,0.0,0.0,0.0,0.0,0.5652,0.6207,0.2291,0.0,0.0
chr15-52600001-52700000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0645
chr15-52700001-52800000,0.0214,0.0348,0.0,0.014,0.1247,0.1762,0.2308,0.25,0.0973
chr15-52800001-52900000,0.1667,0.1,0.0,0.0,0.5161,0.7206,0.4404,0.1083,0.1
chr15-52900001-53000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5458,0.0,0.0
chr15-53000001-53100000,0.0625,0.0267,0.0,0.25,0.8026,0.8945,0.3373,0.0,0.2
chr15-5300001-5400000,0.3333,0.375,0.0,0.5,0.7857,0.8,0.6224,0.1778,0.2857
chr15-53100001-53200000,0.0,0.0,0.0,0.0,0.0,0.0469,0.5172,0.0,0.0
chr15-53200001-53300000,0.0,0.0,0.0,0.0,0.4615,0.75,0.3084,0.0,0.125
chr15-53300001-53400000,0.0615,0.0364,0.0,0.0179,0.0243,0.0353,0.0833,0.0,0.0086
chr15-53400001-53500000,0.3585,0.2417,0.0,0.0,0.5876,0.6723,0.4522,0.225,0.3333
chr15-53500001-53600000,0.0,0.0,0.0,0.0,0.0,0.0,0.2017,0.0,0.0833
chr15-53600001-53700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-53700001-53800000,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0
chr15-53800001-53900000,0.0966,0.0625,0.0,0.0909,0.3068,0.8043,0.6323,0.3444,0.3036
chr15-53900001-54000000,0.1286,0.4424,0.0,0.2,0.2754,0.3617,0.0416,0.0,0.0606
chr15-54000001-54100000,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
chr15-5400001-5500000,0.0,0.0,0.0,0.0,0.25,0.0,0.3194,0.0,1.0
chr15-54100001-54200000,0.2219,0.3636,0.0,0.2714,0.0,0.7436,0.4643,0.2468,0.2381
chr15-54200001-54300000,0.3092,0.25,0.0,0.0,0.693,0.9485,0.2969,0.4167,0.2222
chr15-54300001-54400000,0.3333,0.0,0.0,0.0,0.75,0.7173,0.2682,0.1667,0.0972
chr15-54400001-54500000,0.0,0.1667,0.0,0.0,0.1875,0.5714,0.4727,0.0,0.0
chr15-54500001-54600000,0.0014,0.0,0.0,0.0257,0.072,0.0416,0.55,0.0093,0.0361
chr15-54600001-54700000,0.4444,0.5,0.0,0.0,0.0,0.0,0.2041,0.0,0.0
chr15-54700001-54800000,0.4783,0.4204,0.0,0.2792,0.3045,0.2476,0.1733,0.04,0.0532
chr15-54800001-54900000,0.3077,0.6341,0.0,1.0,0.7714,0.9333,0.5474,0.0,0.6
chr15-54900001-55000000,0.0168,0.0375,0.0,0.0,0.1103,0.0535,0.2303,0.05,0.0223
chr15-55000001-55100000,0.0506,0.0387,0.0152,0.0307,0.0413,0.0545,0.1232,0.0738,0.021
chr15-5500001-5600000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr15-55100001-55200000,0.0251,0.0844,0.0,0.0435,0.0456,0.048,0.1723,0.0,0.0105
chr15-55200001-55300000,0.1717,0.0333,0.5,0.16,0.0184,0.2283,0.3,0.1467,0.0511
chr15-55300001-55400000,0.0,0.15,0.0,0.0,0.1708,0.1521,0.5227,0.0,0.0278
chr15-55400001-55500000,0.0,0.0,0.0,0.0,0.6447,0.8235,0.5793,0.1333,0.0625
chr15-55500001-55600000,0.1039,0.0,0.0,0.0857,0.1391,0.1163,0.3171,0.3521,0.1365
chr15-55600001-55700000,0.0417,0.9286,0.0,0.0,0.25,0.878,0.4059,0.51,0.3893
chr15-55700001-55800000,0.0,0.0,0.0,0.0,0.0,0.0,0.3233,0.0,0.0
chr15-55800001-55900000,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.0,0.0
chr15-55900001-56000000,0.1747,0.0567,0.0,0.0781,0.066,0.0466,0.0679,0.0747,0.0764
chr15-56000001-56100000,0.0,0.0,0.0,0.0,0.0,0.0,0.4755,0.0,0.1786
chr15-5600001-5700000,0.6893,0.9062,0.0,0.0,0.0,0.0,0.1322,0.5556,0.0
chr15-56100001-56200000,0.4935,1.0,0.0,0.0,0.0,0.0,0.4065,0.375,0.15
chr15-56200001-56300000,0.0,0.0,0.0,0.0,0.6522,0.8824,0.3211,0.5,0.1722
chr15-56300001-56400000,0.0,0.5714,0.0,0.0,0.0,0.0,0.7569,0.4167,0.2253
chr15-56400001-56500000,0.0,0.0,0.0,0.0,0.0,0.0,0.6419,0.1111,0.25
chr15-56500001-56600000,0.4286,0.0,0.0,0.0,0.5,0.0,0.4014,0.2845,0.1311
chr15-56600001-56700000,0.0047,0.0138,0.0,0.0009,0.0411,0.0342,0.0266,0.0374,0.0334
chr15-56700001-56800000,0.0,0.0,0.0,0.0,0.0,0.0,0.2595,0.0,0.0
chr15-56800001-56900000,0.0,0.0,0.0,0.0,0.0,0.0,0.3259,0.0,0.1033
chr15-56900001-57000000,0.6043,0.2,0.0,0.0,0.5,0.0,0.4619,0.0714,0.2046
chr15-57000001-57100000,0.1667,0.175,0.0,0.0,0.6786,0.0,0.6298,0.0,0.0
chr15-5700001-5800000,0.8038,0.8778,0.8505,0.5816,0.8189,0.8376,0.5566,0.4987,0.4589
chr15-57100001-57200000,0.0,0.0,0.0,0.0,0.0,0.0,0.4643,0.0,0.0
chr15-57200001-57300000,0.35,0.3182,0.0,0.1125,0.4917,0.4509,0.5162,0.0,0.0861
chr15-57300001-57400000,0.0,0.0,0.0,0.0,0.0,0.0,0.3056,0.0,0.0
chr15-57400001-57500000,0.131,0.125,0.4,0.0,0.2,0.0714,0.3613,0.0,0.085
chr15-57500001-57600000,0.0,0.0,0.0,0.0,0.625,0.3333,0.3898,0.0,0.0
chr15-57600001-57700000,0.0078,0.0277,0.0006,0.0253,0.0994,0.087,0.0659,0.0411,0.0269
chr15-57700001-57800000,0.1928,0.1019,0.0,0.1111,0.6063,0.6703,0.3125,0.2551,0.2246
chr15-57800001-57900000,0.0936,0.0664,0.0909,0.0241,0.1387,0.1299,0.1401,0.0668,0.0177
chr15-57900001-58000000,0.1157,0.0993,0.1638,0.0897,0.3188,0.3423,0.215,0.1012,0.0517
chr15-58000001-58100000,0.1114,0.071,0.0435,0.0403,0.1125,0.1096,0.1506,0.0243,0.0355
chr15-5800001-5900000,0.0,0.0,0.0,0.0,0.0,0.0,0.4988,0.0,0.0
chr15-58100001-58200000,0.0431,0.0405,0.0856,0.0857,0.05,0.0624,0.1245,0.0749,0.0473
chr15-58200001-58300000,0.0125,0.0,0.0,0.001,0.0703,0.1166,0.1069,0.019,0.0405
chr15-58300001-58400000,0.1606,0.0748,0.0,0.1111,0.6624,0.6793,0.3556,0.1722,0.3495
chr15-58400001-58500000,0.1065,0.1464,0.0,0.0489,0.0704,0.1038,0.1509,0.0,0.0095
chr15-58500001-58600000,0.237,0.0079,0.0,0.0741,0.2045,0.3885,0.4161,0.0312,0.1952
chr15-58600001-58700000,0.1879,0.1131,0.1811,0.1063,0.624,0.5219,0.4131,0.2,0.1503
chr15-58700001-58800000,0.4166,0.184,0.4751,0.0,0.7015,0.8157,0.5676,0.25,0.1875
chr15-58800001-58900000,0.0162,0.0043,0.0444,0.0064,0.0144,0.0227,0.0592,0.0136,0.0255
chr15-58900001-59000000,0.4001,0.433,0.5673,0.3778,0.4641,0.4888,0.2007,0.0973,0.1911
chr15-59000001-59100000,0.1008,0.1254,0.1875,0.0308,0.1638,0.1401,0.1292,0.0215,0.0301
chr15-5900001-6000000,0.8022,0.4653,0.0,0.0,0.3382,0.7857,0.3691,0.0,0.0
chr15-59100001-59200000,0.28,0.2567,0.1906,0.2,0.7034,0.8459,0.3055,0.2139,0.2984
chr15-59200001-59300000,0.0479,0.152,0.0,0.0,0.5452,0.6313,0.2582,0.0,0.2167
chr15-59300001-59400000,0.1091,0.0449,0.1376,0.0178,0.116,0.1201,0.084,0.0976,0.0202
chr15-59400001-59500000,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.0,0.0
chr15-59500001-59600000,0.3125,0.1632,0.0,0.2381,0.8573,0.9583,0.5336,0.3,0.4048
chr15-59600001-59700000,0.1329,0.071,0.0122,0.013,0.0688,0.08,0.1258,0.0532,0.0123
chr15-59700001-59800000,0.3824,0.3833,0.0,0.0,0.7873,0.8097,0.4318,0.3179,0.25
chr15-59800001-59900000,0.0455,0.0,1.0,0.0,0.75,0.7619,0.278,0.0,0.0
chr15-59900001-60000000,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.2222,0.0
chr15-60000001-60100000,0.125,0.0952,0.0,0.033,0.503,0.7291,0.527,0.0,0.0714
chr15-6000001-6100000,0.3143,0.439,0.0,0.5,0.747,0.0,0.3289,0.0,0.0
chr15-600001-700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-60100001-60200000,0.3553,1.0,0.0,0.0,0.5709,0.8316,0.4049,0.0,0.0
chr15-60200001-60300000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr15-60300001-60400000,0.0833,0.0,0.0,0.0,0.0,0.0,0.2885,0.325,0.0
chr15-60400001-60500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
chr15-60500001-60600000,0.0,0.0,0.0,0.0,0.0,0.0,0.5225,0.4583,0.4545
chr15-60600001-60700000,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
chr15-60700001-60800000,0.0,0.0,0.0,0.0,0.1778,0.6486,0.1,0.125,0.15
chr15-60800001-60900000,0.0562,0.0461,0.0059,0.0152,0.0858,0.086,0.0544,0.0,0.0407
chr15-60900001-61000000,0.8106,0.3565,0.0,0.5266,0.6799,0.7914,0.3177,0.169,0.1039
chr15-61000001-61100000,0.0,0.0,0.0,0.0,0.0,0.2,0.5478,0.2053,0.0776
chr15-6100001-6200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5228,0.4333,0.4902
chr15-61100001-61200000,0.1061,0.0,0.0,0.0,0.0,0.0,0.2907,0.0,0.0
chr15-61200001-61300000,0.9643,0.0,0.0,0.4792,0.5657,0.5917,0.5321,0.0,0.1875
chr15-61300001-61400000,0.0,0.0,0.0,0.0,0.0,0.0,0.5255,0.0,0.0
chr15-61400001-61500000,0.0,0.0,0.0,0.0,0.0,0.0,0.5099,0.0,0.0
chr15-61500001-61600000,0.0,0.0,0.0,0.0,0.0,0.0,0.2153,0.0,0.0
chr15-61600001-61700000,0.0,0.0,0.0,0.0,0.0,0.0,0.5357,0.0,0.0
chr15-61700001-61800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-61800001-61900000,0.0,0.0,0.0,0.0,0.0,0.0,0.2073,0.0,0.1818
chr15-61900001-62000000,0.0051,0.008,0.0012,0.0048,0.0123,0.0136,0.0799,0.0303,0.0222
chr15-62000001-62100000,0.3829,0.2543,0.2405,0.2,0.1884,0.1179,0.1483,0.0,0.04
chr15-6200001-6300000,0.2178,0.3222,0.0,0.3214,0.7053,0.8151,0.2673,0.2292,0.3888
chr15-62100001-62200000,0.6214,0.4294,0.8,0.4167,0.815,0.8734,0.2519,0.3185,0.431
chr15-62200001-62300000,0.3124,0.5406,0.4993,0.1152,0.6506,0.7561,0.3619,0.4367,0.2539
chr15-62300001-62400000,0.0,0.0,0.0,0.0,0.0,0.0,0.5394,0.0,0.2
chr15-62400001-62500000,0.0,0.0,0.0,0.0,0.0,0.0,0.4333,0.0,0.0
chr15-62500001-62600000,0.5902,0.3805,0.0,0.9222,0.125,0.1975,0.0299,0.0,0.15
chr15-62600001-62700000,0.5563,0.5208,0.0,0.0,0.7077,0.7347,0.2867,0.375,0.25
chr15-62700001-62800000,0.5484,0.7143,0.0,0.4815,0.4231,0.7969,0.2228,0.0,0.0
chr15-62800001-62900000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
chr15-62900001-63000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,0.0,0.0
chr15-63000001-63100000,0.0,0.0,0.0,0.0,0.0,0.0,0.3678,0.0,0.0
chr15-6300001-6400000,0.0,0.0287,0.0,0.0048,0.0492,0.0035,0.1028,0.0,0.0938
chr15-63100001-63200000,0.0,0.0,0.0,0.0,0.0,0.0,0.5742,0.5,0.0
chr15-63200001-63300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr15-63300001-63400000,0.0,0.0,0.0,0.0,0.0,0.0,0.3678,0.0,0.1417
chr15-63400001-63500000,0.6905,0.4667,0.0,0.3857,0.4157,0.6977,0.3144,0.3304,0.2462
chr15-63500001-63600000,0.9432,0.0,0.0,0.0,0.0,0.0,0.3774,0.075,0.3833
chr15-63600001-63700000,0.9042,0.6816,0.0,0.3333,0.5889,0.8274,0.3528,0.3333,0.3933
chr15-63700001-63800000,0.4459,0.1317,0.2,0.1429,0.6544,0.5675,0.4357,0.2333,0.2242
chr15-63800001-63900000,0.4444,0.0,0.0,0.0,0.7771,0.5844,0.4545,0.0,0.25
chr15-63900001-64000000,0.0026,0.0051,0.0032,0.0098,0.0086,0.0158,0.0712,0.0,0.0401
chr15-64000001-64100000,0.0699,0.0318,0.1257,0.0607,0.114,0.1248,0.2161,0.143,0.1142
chr15-6400001-6500000,0.25,0.1818,0.0,0.0,0.375,0.0,0.4294,0.4,0.2
chr15-64100001-64200000,0.4018,0.1198,1.0,0.2046,0.7066,0.9005,0.3194,0.4571,0.4
